run_id	delta_neuron_count	delta_multiplier	hit_delta	hit_hilton	hit_four_seasons	hit_hawaiian	raw_log
46	1250	1.75	0	0	1	1	delta_sweep_output/logs/run_46_dc1250_dm1.75.log
47	1250	2.0	1	1	0	0	delta_sweep_output/logs/run_47_dc1250_dm2.0.log
48	1250	2.25	1	0	1	0	delta_sweep_output/logs/run_48_dc1250_dm2.25.log
49	1250	2.5	1	0	0	0	delta_sweep_output/logs/run_49_dc1250_dm2.5.log
50	1250	2.75	1	0	0	0	delta_sweep_output/logs/run_50_dc1250_dm2.75.log
51	1250	3.0	1	0	0	0	delta_sweep_output/logs/run_51_dc1250_dm3.0.log
52	1250	3.25	1	0	0	0	delta_sweep_output/logs/run_52_dc1250_dm3.25.log
53	1250	3.5	1	0	0	0	delta_sweep_output/logs/run_53_dc1250_dm3.5.log
54	1250	3.75	1	0	0	0	delta_sweep_output/logs/run_54_dc1250_dm3.75.log
55	1250	4.0	1	0	0	0	delta_sweep_output/logs/run_55_dc1250_dm4.0.log
56	1500	1.5	0	0	1	0	delta_sweep_output/logs/run_56_dc1500_dm1.5.log
57	1500	1.75	0	0	1	1	delta_sweep_output/logs/run_57_dc1500_dm1.75.log
58	1500	2.0	1	1	0	0	delta_sweep_output/logs/run_58_dc1500_dm2.0.log
59	1500	2.25	1	0	1	0	delta_sweep_output/logs/run_59_dc1500_dm2.25.log
60	1500	2.5	1	0	0	0	delta_sweep_output/logs/run_60_dc1500_dm2.5.log
61	1500	2.75	1	0	0	0	delta_sweep_output/logs/run_61_dc1500_dm2.75.log
62	1500	3.0	1	0	0	0	delta_sweep_output/logs/run_62_dc1500_dm3.0.log
63	1500	3.25	1	0	0	0	delta_sweep_output/logs/run_63_dc1500_dm3.25.log
64	1500	3.5	1	0	0	0	delta_sweep_output/logs/run_64_dc1500_dm3.5.log
65	1500	3.75	1	0	0	0	delta_sweep_output/logs/run_65_dc1500_dm3.75.log
66	1500	4.0	1	0	0	0	delta_sweep_output/logs/run_66_dc1500_dm4.0.log
67	1750	1.5	0	0	0	0	delta_sweep_output/logs/run_67_dc1750_dm1.5.log
68	1750	1.75	0	1	0	1	delta_sweep_output/logs/run_68_dc1750_dm1.75.log
69	1750	2.0	1	1	0	0	delta_sweep_output/logs/run_69_dc1750_dm2.0.log
70	1750	2.25	1	0	1	0	delta_sweep_output/logs/run_70_dc1750_dm2.25.log
71	1750	2.5	1	0	1	0	delta_sweep_output/logs/run_71_dc1750_dm2.5.log
72	1750	2.75	1	1	0	1	delta_sweep_output/logs/run_72_dc1750_dm2.75.log
73	1750	3.0	1	0	0	0	delta_sweep_output/logs/run_73_dc1750_dm3.0.log
74	1750	3.25	1	0	0	0	delta_sweep_output/logs/run_74_dc1750_dm3.25.log
75	1750	3.5	1	0	0	0	delta_sweep_output/logs/run_75_dc1750_dm3.5.log
76	1750	3.75	1	0	0	0	delta_sweep_output/logs/run_76_dc1750_dm3.75.log
77	1750	4.0	1	0	0	0	delta_sweep_output/logs/run_77_dc1750_dm4.0.log
78	2000	1.5	0	0	0	0	delta_sweep_output/logs/run_78_dc2000_dm1.5.log
79	2000	1.75	0	1	0	1	delta_sweep_output/logs/run_79_dc2000_dm1.75.log
80	2000	2.0	1	0	1	0	delta_sweep_output/logs/run_80_dc2000_dm2.0.log
81	2000	2.25	1	0	0	0	delta_sweep_output/logs/run_81_dc2000_dm2.25.log
82	2000	2.5	1	0	1	0	delta_sweep_output/logs/run_82_dc2000_dm2.5.log
83	2000	2.75	1	0	0	1	delta_sweep_output/logs/run_83_dc2000_dm2.75.log
84	2000	3.0	1	0	0	0	delta_sweep_output/logs/run_84_dc2000_dm3.0.log
85	2000	3.25	1	0	0	0	delta_sweep_output/logs/run_85_dc2000_dm3.25.log
86	2000	3.5	1	0	0	0	delta_sweep_output/logs/run_86_dc2000_dm3.5.log
87	2000	3.75	1	0	0	0	delta_sweep_output/logs/run_87_dc2000_dm3.75.log
88	2000	4.0	1	0	0	0	delta_sweep_output/logs/run_88_dc2000_dm4.0.log
89	2250	1.5	0	1	1	1	delta_sweep_output/logs/run_89_dc2250_dm1.5.log
90	2250	1.75	0	0	1	1	delta_sweep_output/logs/run_90_dc2250_dm1.75.log
91	2250	2.0	1	0	1	0	delta_sweep_output/logs/run_91_dc2250_dm2.0.log
92	2250	2.25	1	0	0	0	delta_sweep_output/logs/run_92_dc2250_dm2.25.log
93	2250	2.5	1	1	0	0	delta_sweep_output/logs/run_93_dc2250_dm2.5.log
94	2250	2.75	1	0	0	0	delta_sweep_output/logs/run_94_dc2250_dm2.75.log
95	2250	3.0	1	0	0	0	delta_sweep_output/logs/run_95_dc2250_dm3.0.log
96	2250	3.25	0	0	0	0	delta_sweep_output/logs/run_96_dc2250_dm3.25.log
97	2250	3.5	1	0	0	0	delta_sweep_output/logs/run_97_dc2250_dm3.5.log
98	2250	3.75	1	0	0	0	delta_sweep_output/logs/run_98_dc2250_dm3.75.log
99	2250	4.0	1	0	0	0	delta_sweep_output/logs/run_99_dc2250_dm4.0.log
100	2500	1.5	0	0	1	1	delta_sweep_output/logs/run_100_dc2500_dm1.5.log
101	2500	1.75	0	0	1	1	delta_sweep_output/logs/run_101_dc2500_dm1.75.log
102	2500	2.0	1	0	1	0	delta_sweep_output/logs/run_102_dc2500_dm2.0.log
103	2500	2.25	1	0	0	0	delta_sweep_output/logs/run_103_dc2500_dm2.25.log
104	2500	2.5	1	0	0	0	delta_sweep_output/logs/run_104_dc2500_dm2.5.log
105	2500	2.75	1	0	0	0	delta_sweep_output/logs/run_105_dc2500_dm2.75.log
106	2500	3.0	1	0	0	0	delta_sweep_output/logs/run_106_dc2500_dm3.0.log
107	2500	3.25	1	0	0	0	delta_sweep_output/logs/run_107_dc2500_dm3.25.log
108	2500	3.5	1	0	0	0	delta_sweep_output/logs/run_108_dc2500_dm3.5.log
109	2500	3.75	1	0	0	0	delta_sweep_output/logs/run_109_dc2500_dm3.75.log
110	2500	4.0	1	0	0	0	delta_sweep_output/logs/run_110_dc2500_dm4.0.log
